1	0.28878	0.31371	0.26052	0.25002	0.47253	0.46437	0.19112	0.25036	0.21034	0.22281	0.20492	0.21992	0.37217
0.28878	1	0.55523	0.93666	0.92684	0.68666	0.77571	0.78486	0.68165	0.76046	0.67859	0.72336	0.42246	0.33403
0.31371	0.55523	1	0.58029	0.55806	0.49424	0.45728	0.30046	0.27245	0.28964	0.2556	0.25136	0.22098	0.33252
0.26052	0.93666	0.58029	1	0.95792	0.74016	0.79963	0.73548	0.57314	0.70004	0.59886	0.61473	0.3395	0.23957
0.25002	0.92684	0.55806	0.95792	1	0.75559	0.86022	0.77473	0.62983	0.75273	0.68561	0.65566	0.44397	0.32575
0.47253	0.68666	0.49424	0.74016	0.75559	1	0.86579	0.53029	0.39509	0.48312	0.40106	0.43041	0.23676	0.22811
0.46437	0.77571	0.45728	0.79963	0.86022	0.86579	1	0.70583	0.60052	0.66868	0.57654	0.628	0.40164	0.34086
0.19112	0.78486	0.30046	0.73548	0.77473	0.53029	0.70583	1	0.93331	0.96829	0.87386	0.92777	0.69949	0.65348
0.25036	0.68165	0.27245	0.57314	0.62983	0.39509	0.60052	0.93331	1	0.9506	0.88315	0.93244	0.75553	0.68869
0.21034	0.76046	0.28964	0.70004	0.75273	0.48312	0.66868	0.96829	0.9506	1	0.93069	0.92517	0.71984	0.67027
0.22281	0.67859	0.2556	0.59886	0.68561	0.40106	0.57654	0.87386	0.88315	0.93069	1	0.8284	0.77338	0.66282
0.20492	0.72336	0.25136	0.61473	0.65566	0.43041	0.628	0.92777	0.93244	0.92517	0.8284	1	0.61038	0.63585
0.21992	0.42246	0.22098	0.3395	0.44397	0.23676	0.40164	0.69949	0.75553	0.71984	0.77338	0.61038	1	0.70964
0.37217	0.33403	0.33252	0.23957	0.32575	0.22811	0.34086	0.65348	0.68869	0.67027	0.66282	0.63585	0.70964	1
